QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
2-856,0.30365,0.272362,0.942287,-67.979684,-37.932367,3
2-857,0.001,0.001,0.001,-63.048996135707064,-74.22874723554344,3
2-877,0.001,0.001,0.001,-63.048996135707064,-74.22874723554344,3
2-864,0.325094,0.510826,0.889196,-67.66532,-37.764065,3
2-658,1.558661,1.893149,5.782463,-63.621565,-36.724035,3
2-486,1.612212,0,0,0,0,-1
4-236,0.001,0.001,0.001,0,0,3
4-166,0.497592,0.619079,1.512406,-58.632689,-36.068791,3
4-488,0.001,0,0,0,0,-1
8-48,0.50969,1.131833,1.790843,-151.606537,-94.977826,1
8-122,1.752699,2.214813,6.45812,-148.840806,-93.211334,1
8-20,1.38571,1.691734,4.888972,-150.635012,-93.662593,3
8-58,1.665153,2.020442,5.167252,-149.77018,-92.967751,3
8-196,0.519602,1.144113,2.071668,-151.571984,-94.986123,3
8-354,0.286891,0.001,0.845554,0,-95.263556,1
8-360,0.43571,1.039164,1.543263,-151.867964,-95.102739,1
8-197,0.301684,0.635483,1.044987,-152.896349,0,3
8-999,0.630102,0.804099,2.983513,-152.03233,-94.414158,3
8-1112,0.457948,0.984822,1.550937,-152.07394,-95.125809,3
8-1005,0.577119,0.764845,1.686208,-152.694805,-94.863388,1
8-492,0.001,0,0,0,0,-1
9-21,0.001,0.001,0.001,0,0,2
9-22,0.001,0.001,0.001,0,0,2
9-550,0.001,0.001,0.001,0,0,2
9-534,0.001,0,0,0,0,-1
10-259,0.142902,0.505556,0.538851,-58.876592,-35.234004,2
10-405,0.001,0.001,0.001,0,0,2
10-302,0.001,0.001,0.001,0,0,3
10-436,0.001,0.001,0.001,0,0,3
10-437,0.001,0.001,0.001,0,0,3
10-438,0.001,0.001,0.001,0,0,3
10-998,0.232372,0.822082,1.052916,-57.741955,-34.953303,3
10-1011,0.001,0.001,0.001,0,0,3
10-493,0.001,0,0,0,0,-1
12-86,0.001,0.001,0.001,0,0,2
12-194,0.712571,1.409053,2.774712,-108.435018,-62.620234,2
12-650,0.959181,1.434901,2.66668,-109.043471,-62.532863,2
12-649,0.703741,0.783623,2.771779,-109.545483,-62.814583,4
12-652,0.69026,1.390375,2.717682,-108.418222,-62.834071,2
12-624,1.436558,0,0,0,0,-1
13-64,0.833322,1.492953,3.082013,-91.039379,-47.136882,2
13-265,0.525885,0.001,1.501923,0,-46.778163,2
13-65,0.001,0.001,0.001,0,0,4
13-311,0.992304,1.699021,4.1505,-90.173275,-46.820178,4
13-496,0.628052,0,0,0,0,-1
15-463,0.267346,0.404291,0.772153,-59.204442,-30.312511,1
15-462,0.308123,0.365002,0.908673,-59.24737,-30.035225,3
15-497,0.828953,0,0,0,0,-1
18-196,0.001,0.001,0.001,0,0,2
18-197,0.443396,0.659034,2.07079,-83.991928,-52.551721,2
18-198,0.616569,0.638899,2.166184,-84.140519,-52.178119,2
18-498,0.362893,0,0,0,0,-1
22-68,0.696595,0.956054,2.267897,-92.352038,-53.007792,1
22-502,0.001,0,0,0,0,-1
23-900,0.221744,0.784483,0.94717,-75.198641,-40.987222,1
23-902,0.434109,0.936214,1.608526,-74.756864,-40.97521,1
23-200,0.341346,0.542036,1.264144,-75.957444,-40.934172,2
23-201,0.468703,1.314187,2.056662,-73.823149,-40.77768,2
23-601,0.564099,1.346011,2.235482,-73.678465,-40.881553,2
23-899,0.900613,1.589493,3.658417,-73.437483,-40.321014,3
23-903,0.353425,0.866498,1.322878,-74.961081,-41.03233,3
23-593,0.654554,1.377293,2.551415,-73.975597,-40.706476,3
23-199,0.001,0.429796,0.001,-76.067133,0,4
23-594,0.196974,0.474524,0.001,-76.24159,-41.102848,4
23-901,0.180177,0.637425,0.728559,-75.673205,-41.162236,2
23-544,0.556616,1.085452,1.811663,-74.924821,-40.732852,2
23-597,0.346608,1.026029,1.115996,-75.191702,-41.006148,2
23-749,1.562981,2.587202,6.123706,-71.115729,-39.205651,3
23-917,1.352466,2.237782,5.31799,-70.551838,-39.973961,3
23-919,0.925171,1.775591,3.208903,-73.244907,-40.509153,3
23-1333,1.154398,1.511357,4.961442,-73.172686,-39.953733,4
23-634,1.033914,1.828251,3.717245,-73.222649,-40.30403,2
23-687,0.665009,0.873202,1.888643,-75.586749,-40.213193,2
23-698,0.72476,1.009878,2.715778,-74.808392,-40.481416,2
23-1290,0.386241,0.613326,1.701115,-75.617143,-40.87894,3
23-700,0.001,0.001,0.001,0,0,2
23-704,1.948096,1.905509,8.51164,-71.639681,-38.388296,2
23-705,0.71698,1.176984,2.440782,-74.234226,-40.48473,2
23-1109,0.001,0.001,0.001,0,0,2
23-1112,0.961636,1.611175,3.659205,-73.610955,-40.262239,2
23-1141,0.45012,0.930675,1.259661,-75.557163,-40.730308,2
23-1197,0.607692,0.681102,2.59328,-75.484412,-40.48781,2
23-1256,0.201158,0.711653,0.786099,-75.571098,-41.066188,2
23-1259,0.850922,1.664022,2.797681,-73.432358,-40.558077,2
23-1272,0.770222,1.262379,3.000125,-74.515893,-40.285111,2
23-1289,1.631067,2.27884,6.366556,-71.084184,-38.93482,2
23-892,0.796745,0,0,0,0,-1
26-145,0.001,0.001,0.001,0,0,1
26-611,0.001,0.001,0.001,0,0,1
26-376,0.001,0.001,0.001,0,0,2
26-406,0.001,0.001,0.001,0,0,2
26-565,0.001,0.001,0.001,0,0,2
26-1076,0.001,0.001,0.001,0,0,2
26-511,0.001,0,0,0,0,-1
27-224,0.001,0.001,0.001,0,0,2
27-278,0.001,0.001,0.001,0,0,3
27-428,0.26571,0.322843,0.801716,-42.162418,-22.394209,3
27-512,0.001,0,0,0,0,-1
29-250,0.001,0.001,0.001,0,0,2
29-514,0.001,0.001,0.001,0,0,2
29-609,0.501579,0.454773,1.411255,-24.958156,-19.661739,2
29-225,0.001,0.001,0.001,0,0,3
29-793,0.001,0.001,0.001,0,0,3
29-464,0.001,0.001,0.001,0,0,4
29-465,0.001,0.001,0.001,0,0,4
29-612,0.001,0.001,0.001,0,0,2
29-466,0.304535,0.276117,0.943036,-25.055796,-20.161017,4
29-513,0.001,0,0,0,0,-1
31-776,0.001,0.001,0.001,0,0,4
31-751,0.200367,0,0,0,0,-1
32-465,0.432541,0.969252,1.374747,-92.341478,-46.615374,2
32-249,0.001,0.001,0.001,0,0,3
32-777,0.426213,0.669716,1.828378,-92.641493,-46.356868,3
32-778,0.303188,0.476405,0.843721,-93.336066,-46.533769,3
32-247,0.905965,1.600788,3.743596,-90.458882,-46.050535,4
32-250,0.001,0.001,0.001,0,0,4
32-752,0.001,0,0,0,0,-1
33-252,0.442641,0.793705,1.379673,-66.61282,-32.526816,3
33-431,0.621177,1.199895,2.536778,-65.672466,-32.241954,3
33-141,0.172939,0.427288,0.493526,-67.736597,-32.621685,4
33-516,0.001,0,0,0,0,-1
34-252,0.695016,1.447025,2.779169,-116.117113,-75.82863,1
34-431,0.245901,0.592393,1.01572,-118.598672,-76.50948,3
34-672,0.300144,0.72307,1.166902,-118.303529,-76.237843,3
34-714,1.657648,1.944096,5.546756,-115.98306,-73.992094,3
34-799,0.61379,1.310505,2.41709,-116.496429,-75.997955,3
34-800,0.142428,0.001,0.425015,0,0,3
34-516,1.027277,0,0,0,0,-1
35-166,1.351826,2.043356,4.579225,-115.250475,-71.641974,1
35-167,0.526422,1.162115,1.871217,-117.212524,-72.469398,1
35-132,1.196745,1.39293,4.378654,-116.160247,-71.736895,3
35-517,0.304646,0,0,0,0,-1
39-272,0.495299,0.647846,2.130649,-75.326999,-43.646616,1
39-555,0.001,0.001,0.001,0,0,1
39-24,1.234659,1.342814,4.576007,-73.710377,-42.789804,2
39-283,0.865649,1.053714,3.482616,-74.675554,-43.122309,2
39-552,1.418445,1.785618,5.54362,-72.810707,-42.540862,2
39-79,0.519175,0.667191,1.557301,-75.733233,-43.566623,3
39-207,0.001,0.001,0.001,0,0,3
39-418,0.001,0.001,0.001,0,0,3
39-557,0.295222,0.365002,0.870627,-76.373233,-43.74488,4
39-554,0.740653,0.706405,2.198137,-75.69898,-43.144101,2
39-556,0.001,0.001,0.001,0,0,2
39-505,0.001,0.001,0.001,0,0,3
39-1257,0.424068,0.524302,1.584257,-75.98323,-43.516089,3
39-536,0.888078,0,0,0,0,-1
40-24,0.001,0.001,0.001,0,0,2
40-283,0.224356,0.312761,0.680706,-76.467313,-49.200276,2
40-552,0.487627,0.679772,2.182931,-75.400974,-48.820221,2
40-272,0.001,0.001,0.001,0,0,3
40-85,0.176209,0.245643,0.555183,-76.644235,-49.245232,3
40-976,0.872042,0.936993,4.045997,-74.293621,-48.434233,3
40-557,0.26183,0.365002,0.772152,-76.373233,-49.153627,4
40-558,0.7946,0.805543,3.559957,-74.976615,-48.130371,4
40-553,0.575831,0.583762,2.388386,-75.762246,-48.790384,2
40-554,0.514933,0.522025,1.925883,-75.986662,-48.869031,2
40-555,0.588211,0.596312,2.425129,-75.740068,-48.760995,2
40-556,0.001,0.001,0.001,0,0,2
40-536,0.480204,0,0,0,0,-1
41-288,0.001,0.001,0.001,0,0,1
41-289,0.536198,0.688285,1.978554,-41.13717,-26.197556,1
41-433,0.117656,0.195976,0.381555,-42.385707,-26.587979,2
41-520,0.001,0,0,0,0,-1
49-320,0.001,0.001,0.001,0,0,3
49-478,0.001,0.001,0.001,0,0,4
49-527,0.001,0,0,0,0,-1
50-326,0.773621,1.20828,2.378275,-91.949772,-57.587365,2
50-629,0.214465,0.758731,0.926522,-92.362588,-58.52979,2
50-21,0.1839,0.650598,0.646677,-92.9242,-58.589556,4
50-94,0.178851,0.632738,0.882353,-92.705072,-58.680209,4
50-22,0.195,0.689867,0.769616,-92.706724,-58.586701,4
50-306,1.059652,1.619981,3.979178,-90.37973,-57.551986,4
50-528,0.098965,0,0,0,0,-1
51-94,1.654442,2.879369,7.497976,-93.367008,-47.238418,1
51-23,2.210922,3.719592,8.874197,-94.262067,-46.129201,2
51-105,1.137656,2.305175,4.529168,-97.322796,-47.352751,2
51-381,2.08442,3.199888,7.602065,-94.54185,-46.548516,2
51-192,1.501135,2.715372,6.738975,-95.713455,-46.617608,3
51-326,2.117056,3.678027,8.183019,-95.487247,-45.043235,4
51-63,0.725884,1.7464,2.808509,-98.962259,-47.818105,4
51-494,0.573534,1.404582,2.438334,-99.326064,-47.581016,2
51-629,3.001906,4.548739,10.789712,-93.061889,-44.879825,2
51-261,1.509642,2.731074,5.793871,-96.638568,-47.022744,4
51-528,1.496994,0,0,0,0,-1
52-21,0.001,0.001,0.001,0,0,2
52-22,0.001,0.001,0.001,0,0,2
52-306,0.001,0.001,0.001,0,0,2
52-326,0.001,0.001,0.001,0,0,4
52-528,0.001,0,0,0,0,-1
53-296,0.424287,0.525867,1.810112,-50.122817,-24.432439,3
53-33,0.207969,0.25776,0.65073,-50.839469,-24.787681,3
53-446,0.340461,0.365002,1.004039,-50.684439,-24.566262,4
53-447,0.001,0.001,0.001,0,0,4
53-448,0.32849,0.352168,0.975448,-50.69818,-24.5928,4
53-449,0.390235,0.418364,1.118815,-50.636098,-24.437059,4
53-208,0.001,0.001,0.001,0,0,4
53-297,0.253045,0.519767,0.947461,-50.293858,-24.769143,4
53-298,0.001,0.001,0.001,0,0,4
53-299,0.001,0.001,0.001,0,0,4
53-531,0.001,0,0,0,0,-1
54-84,0.528178,1.089156,1.92822,-91.513823,-46.832923,2
54-24,0.409391,0.778286,1.279761,-92.390876,-47.058714,3
54-101,0.721461,0.687733,2.294665,-92.515171,-46.596727,3
54-294,0.364352,0.755468,1.310822,-92.417483,-47.078141,3
54-628,0.188097,0.453139,0.728306,-93.262559,0,4
54-661,0.548564,1.20732,1.915078,-91.367508,-46.980741,4
54-364,0.599654,0.902909,2.310077,-91.803077,-47.00646,3
54-365,0.417576,0.789255,1.37364,-92.51547,-47.079958,3
54-560,0.550419,1.105527,1.95594,-91.557382,-46.995356,3
54-123,0.939843,0,0,0,0,-1
55-16,0.101934,0.360621,0.301318,-50.689023,-27.752966,2
55-375,0.216726,0.766731,1.020798,-49.21101,-27.56022,2
55-460,0.113895,0.402936,0.329187,-50.648797,-27.737774,2
55-378,0.172683,0.610914,0.618648,-50.214433,-27.641245,3
55-255,0.001,0.001,0.001,0,0,3
55-271,0.001,0.001,0.001,0,0,3
55-376,0.16716,0.591376,0.604457,-50.229478,-27.660045,4
55-377,0.192522,0.681102,0.821574,-49.786462,-27.622102,4
55-562,0.173808,0.614895,0.764932,-49.872697,-27.676517,2
55-502,0.001,0.001,0.001,0,0,3
55-538,0.370761,0,0,0,0,-1
56-380,0.859094,1.534572,2.508445,-142.745192,-81.717471,2
56-749,2.491385,3.276821,10.111695,-138.13342,-78.827592,3
56-1339,2.316197,3.15826,8.680921,-138.015436,-79.847461,3
56-14,1.063462,1.490391,4.048204,-141.556929,-81.432337,4
56-705,1.594204,2.317399,6.366796,-139.992707,-80.558011,4
56-779,1.277922,2.186422,4.217557,-140.412857,-81.284797,4
56-780,1.428082,1.496494,6.119717,-141.972204,-80.024236,4
56-379,0.511401,1.471191,2.208713,-141.811603,-81.663832,4
56-643,0.516068,1.023029,1.820847,-143.454621,-81.798061,4
56-686,1.26349,1.876064,4.525297,-141.206245,-81.428533,4
56-753,0.540239,0,0,0,0,-1
57-380,0.001,0.001,0.001,0,0,2
57-593,0.996359,1.602513,3.980911,-64.486679,-34.60499,3
57-746,0.421483,0.362798,1.244448,-67.813358,-35.469178,3
57-914,0.001,0.001,0.001,0,0,3
57-14,1.056397,1.566225,4.796184,-63.857328,-35.058834,4
57-379,0.658319,1.069033,1.950475,-66.436226,-35.484678,4
57-705,0.428575,0.541667,1.81426,-67.262558,-35.70336,4
57-779,0.624807,0.789681,2.913391,-66.32071,-35.332882,4
57-780,1.188917,1.420568,5.006631,-65.264678,-34.381567,4
57-704,0.601305,0.908202,2.362961,-66.045566,-35.622739,4
57-12,0.001,0.001,0.001,0,0,4
57-15,0.479774,0.895229,1.649484,-66.714746,-35.428307,4
57-857,0.397274,0.547205,1.231961,-67.283543,-35.580613,4
57-859,0.515067,0.583548,2.300923,-67.096248,-35.27396,4
57-753,0.415529,0,0,0,0,-1
58-788,0.001,0.001,0.001,0,0,2
58-785,0.206584,0.001,0.616133,0,-70.07281,3
58-786,0.001,0.001,0.001,0,0,3
58-787,0.001,0.001,0.001,0,0,3
58-23,0.603324,0.700232,1.793554,-127.097741,-69.547983,4
58-381,0.611334,0.982935,2.15991,-126.262616,-69.605188,4
58-382,0.301552,0.502287,0.828321,-127.490647,-69.740053,4
58-784,0.440541,0.784016,1.502206,-126.817513,-69.78509,4
58-789,0.001,0.408412,0.001,-127.650176,0,4
58-754,0.001,0,0,0,0,-1
59-788,0.116761,0.281286,0.360519,-59.377225,-34.049499,2
59-785,0.001,0.001,0.001,0,0,3
59-786,0.001,0.001,0.001,0,0,3
59-787,0.001,0.001,0.001,0,0,3
59-754,0.13886,0,0,0,0,-1
61-565,0.001,0.001,0.001,0,0,2
61-566,0.001,0.001,0.001,0,0,2
61-564,0.001,0.001,0.001,0,0,3
61-1159,0.001,0.001,0.001,0,0,3
61-661,0.001,0.001,0.001,0,0,4
61-539,0.001,0,0,0,0,-1
62-566,1.556146,2.33044,6.682291,-62.627353,-37.551725,1
62-567,0.283067,0.481264,1.08047,-67.480897,-38.984672,2
62-1084,0.001,0.001,0.001,0,0,2
62-1078,0.2001,0.340206,0.598059,-67.846901,-39.097879,3
62-1081,0.220717,0.375258,0.647349,-67.796533,-39.060344,3
62-539,1.058655,0,0,0,0,-1
66-664,0.178656,0.441411,0.50613,-42.066758,-18.919335,2
66-629,0.001,0.001,0.001,0,0,2
66-180,0.001,0.001,0.001,0,0,3
66-659,0.177507,0.363897,0.523788,-42.122463,-18.921709,3
66-660,0.188673,0.386788,0.756227,-41.877711,-18.929914,3
66-388,0.290578,0,0,0,0,-1
67-2,0.737693,0.923692,2.843649,-57.837611,-33.87991,1
67-3,0.001,0.001,0.001,0,0,1
67-664,0.001,0.001,0.001,0,0,2
67-629,0.354105,0.386108,1.03259,-59.223256,-34.099896,2
67-323,0.699912,0.876385,1.986138,-58.480277,-33.80565,3
67-324,0.001,0.001,0.001,0,0,3
67-393,0.001,0.001,0.001,0,0,3
67-128,0.001,0.001,0.001,0,0,1
67-180,0.001,0.001,0.001,0,0,1
67-394,0.001,0.001,0.001,0,0,3
67-659,0.001,0.001,0.001,0,0,3
67-389,0.001,0.001,0.001,0,0,3
67-4,0.001,0.001,0.001,0,0,3
67-1302,0.001,0.001,0.001,0,0,3
67-388,0.001,0,0,0,0,-1
68-662,0.526603,1.047569,2.421928,-57.020116,-32.668178,2
68-101,0.374991,0.745968,1.514093,-57.999347,-32.795074,3
68-460,0.753449,1.501081,3.189845,-56.497737,-32.066457,3
68-661,0.746942,1.485888,3.439838,-55.890452,-32.218028,3
68-62,0.663794,1.320482,3.098383,-56.262072,-32.457133,3
68-628,0.294518,0,0,0,0,-1
69-458,0.001,0.001,0.001,0,0,2
69-570,0.627881,0.684628,2.484033,-58.496477,-35.643427,2
69-977,0.001,0.001,0.001,0,0,3
69-62,0.001,0.001,0.001,0,0,3
69-336,0.001,0.001,0.001,0,0,4
69-540,0.580256,0,0,0,0,-1
71-569,0.241901,0.411273,0.957149,-76.19696,-43.011092,1
71-571,0.170637,0.290113,0.524271,-76.518218,-43.089123,1
71-1355,0.36057,0.455717,1.394276,-76.100901,-43.055958,2
71-101,0.201801,0.229244,0.641843,-76.702445,-42.996802,3
71-655,0.234637,0.398923,0.679596,-76.324957,-42.978494,3
71-1213,0.162405,0.276117,0.50291,-76.553681,-43.099493,3
71-798,0.822333,0.982255,3.663253,-73.585186,-42.662406,4
71-572,0.328099,0.403804,1.060311,-76.126236,-42.96106,1
71-540,0.272169,0,0,0,0,-1
72-21,0.1839,0.650598,0.646677,-101.471728,-59.160231,2
72-324,0.201556,0.71306,0.787153,-101.221241,-59.118789,2
72-630,0.488904,0.895229,1.55915,-100.967998,-58.843579,2
72-94,0.57415,0.987129,2.178651,-99.94626,-58.719414,3
72-664,0.001,0.001,0.001,0,0,3
72-304,0.870074,1.400625,3.584806,-99.136421,-58.684854,3
72-128,0.169678,0.600283,0.69824,-101.439743,-59.24647,4
72-323,0.532592,0.876385,1.511333,-101.242113,-58.671688,4
72-663,0.363583,1.016055,1.266679,-100.657376,-59.074809,4
72-570,0.912543,1.431026,2.739862,-100.171273,-58.442314,3
72-494,0.223,0.788925,1.006335,-100.712359,-59.073928,3
72-305,0.453918,1.236013,1.834842,-99.910568,-58.934751,4
72-309,0.423593,1.159099,1.746628,-100.006113,-59.015233,4
72-571,1.274789,1.942419,5.211232,-98.096457,-58.18076,4
72-655,1.402422,1.851687,5.718202,-98.778782,-57.334592,4
72-388,0.377178,1.090697,1.444512,-100.177859,-59.014108,4
72-62,0.510423,0.733929,1.609112,-101.041517,-58.991016,4
72-629,0.214465,0,0,0,0,-1
74-576,0.485861,1.004574,1.334592,-101.160741,-59.35578,2
74-656,0.566525,1.148262,1.982601,-100.009024,-59.560446,2
74-575,0.546139,1.111629,1.926646,-100.051613,-59.593572,3
74-317,0.751036,1.292647,2.605914,-99.614026,-59.293697,4
74-574,0.834765,1.405525,2.882896,-99.301632,-58.851561,4
74-578,0.001,0.566172,0.001,-101.790736,-59.863431,4
74-541,0.640571,0,0,0,0,-1
79-597,0.001,0.001,0.001,0,0,3
79-598,0.001,0.001,0.001,0,0,3
79-688,0.282382,0.580027,1.263601,-58.514554,-46.463725,4
79-708,0.001,0.001,0.001,0,0,4
79-713,0.001,0.001,0.001,0,0,4
79-544,0.460223,0,0,0,0,-1
80-594,0.196974,0.474524,0.548666,-67.693286,-32.868299,1
80-597,0.177366,0.427288,0.506159,-67.736597,-32.924206,1
80-596,0.001,0.001,0.001,0,0,3
80-598,0.198541,0.4783,0.551977,-67.690184,-32.862789,3
80-544,0.674325,0,0,0,0,-1
81-672,0.431678,1.188407,1.534999,-66.314743,-29.631479,1
81-799,0.46826,1.296094,2.137425,-64.98844,-29.689798,4
81-631,0.001,0,0,0,0,-1
82-676,0.001,0.001,0.001,0,0,2
82-677,0.475368,0.638899,1.676239,-66.954064,-36.11712,2
82-678,0.915891,1.008288,2.975814,-66.647235,-35.285687,3
82-679,0.001,0.001,0.001,0,0,3
82-205,0.001,0.001,0.001,0,0,3
82-632,0.001,0,0,0,0,-1
83-680,0.644133,0.725596,1.901834,-49.993584,-27.954521,2
83-681,0.261508,0.383643,0.763571,-50.66607,-28.31985,2
83-682,0.275714,0.304829,0.840205,-50.758493,-28.290603,2
83-683,2.702701,2.662885,12.574527,-43.652797,-24.400738,2
83-633,1.382555,0,0,0,0,-1
84-606,1.202999,1.341832,3.604819,-134.322715,-71.91884,2
84-406,0.918135,1.644926,3.850142,-132.89725,-73.010933,2
84-608,0.001,0.001,0.001,0,0,3
84-142,0.964533,1.572533,3.264884,-134.006096,-72.86695,3
84-294,0.718183,1.208998,2.854053,-134.154235,-73.299746,3
84-354,0.001,0.001,0.001,0,0,4
84-522,0.001,0.001,0.001,0,0,4
84-962,1.085091,1.684233,4.365078,-132.180413,-72.947569,3
84-1192,1.940612,2.549645,7.162734,-131.517085,-71.166562,3
84-1213,0.001,0.53365,0.001,-135.941401,0,3
84-873,0.001,0.001,0.001,0,0,4
84-546,0.679385,0,0,0,0,-1
85-608,0.366966,0.730003,1.082204,-92.805948,-49.73123,1
85-406,0.948014,1.962951,4.273186,-88.894982,-48.98886,2
85-606,0.001,0.335458,0.001,-93.559874,0,3
85-710,1.243326,1.799986,4.489433,-89.620336,-48.459788,3
85-546,0.001,0,0,0,0,-1
86-594,0.196974,0.474524,0.001,-110.434807,-62.476189,3
86-790,0.001,0.001,0.001,0,0,3
86-755,0.001,0,0,0,0,-1
87-606,0.234069,0.670916,0.701395,-84.29827,-51.972158,2
87-611,0.603513,1.200567,2.483513,-82.915776,-51.671332,2
87-562,1.048669,2.430489,4.617846,-79.357838,-51.262576,3
87-50,0.821852,1.857593,3.443803,-81.35567,-51.428018,4
87-236,0.219501,0.776546,0.99593,-83.612721,-51.835435,4
87-609,0.561702,0.454773,1.580419,-84.811198,-50.823457,4
87-612,0.186098,0.658376,0.7452,-84.200895,-51.933692,4
87-406,1.028275,2.246895,4.520634,-79.621103,-51.147337,4
87-547,1.026775,0,0,0,0,-1
93-691,0.177974,0.629634,0.722286,-101.375755,-59.055603,3
93-635,0.43737,0,0,0,0,-1
94-24,0.977488,1.426524,4.222231,-73.381873,-37.776576,1
94-283,1.952868,2.353873,8.195267,-71.189198,-36.419503,3
94-294,2.292012,2.555944,9.860744,-70.11226,-36.491694,3
94-559,1.971502,2.59598,7.818635,-71.692083,-35.939786,3
94-689,0.943829,1.266428,4.317402,-73.718756,-37.715147,4
94-690,1.413993,1.755015,4.931586,-73.590321,-37.107309,4
94-101,2.421404,2.686908,10.918986,-69.275896,-36.293803,4
94-1393,2.208006,2.520965,9.413148,-70.782031,-36.140703,3
94-354,3.025568,3.234161,12.391304,-69.910045,-34.975324,4
94-1104,1.883555,2.13914,8.425965,-70.98207,-36.824653,4
94-1161,1.461899,1.827424,5.630892,-73.118174,-36.888912,4
94-1395,1.327986,1.981103,5.215203,-73.04711,-36.686862,4
94-635,0.938203,0,0,0,0,-1
95-283,0.001,0.001,0.001,0,0,1
95-662,1.067247,1.694578,4.155094,-89.362956,-50.392223,4
95-635,0.001,0,0,0,0,-1
97-699,1.473437,1.400167,5.787408,-116.232735,-68.190228,3
97-700,1.638719,1.516779,5.630523,-116.815584,-67.794136,3
97-701,1.849839,1.588394,7.090956,-115.473514,-67.52562,3
97-698,1.05998,1.141823,4.366016,-117.060037,-69.045788,4
97-1289,1.353029,1.631569,5.873091,-115.767572,-69.129343,4
97-702,0.664688,0.704475,2.942228,-118.203823,-69.651658,3
97-703,0.001,0.001,0.001,0,0,3
97-779,0.637773,0.675949,2.860098,-118.299008,-69.739579,3
97-1339,3.167124,3.149729,12.852643,-112.013168,-67.067329,4
97-681,0.001,0.001,0.001,0,0,3
97-637,2.142308,0,0,0,0,-1
98-713,0.5751,0.651563,2.487891,-66.967043,-38.325834,2
98-708,0.557646,0.631788,1.978244,-67.298671,-38.201601,4
98-709,0.738959,0.736791,2.591417,-66.843573,-38.131921,4
98-711,0.444358,0.503438,1.677347,-67.447519,-38.618451,4
98-712,0.570741,0.646625,2.680941,-66.835422,-38.394045,4
98-638,0.583498,0,0,0,0,-1
99-717,1.504557,1.808977,6.670724,-131.866154,-69.805985,2
